Txhash,From,Value_IN(ETH),Method,Mint Count,Airdrop Value
0xe1a1460f654ac35ba3dd805c9dc194a93b936334f57d2a2ecaf0426e82825f4f,0x0cc02468c8ca847b946a2830fcbea2fb31fded03,0.06,Mint,1,227
0x9cbd0ef29c775718a58742434032c62ea63074e0132e3c15a4c32db0686890e8,0x7e89fb4327eb388567ab2d11c19889215eb4fe41,0.6,Mint,10,2273
0xa7ab86575f30c25c665cb41a7f1d31b777aa7b0271cf401e01965d4a1a67b401,0x74b5639107983147e69b60b4924bd84514f4deec,0.06,Mint,1,227
0x5deef7b3042ba55738b24ccecef42c06a2aea3c3253f6eef17c1c15cbf0e1c2c,0xb8f48ab316f8ee6956867b3e63f1619a9c7b4c5e,0.12,Mint,2,455
0x64888ba5facbc49f3826b60b20c5d84a63767bff5a25f462e248a49747e6e4e2,0x74b5639107983147e69b60b4924bd84514f4deec,0.06,Mint,1,227
0xd027af736dab19a1b9217acf7a13e337b629eda18dcbe4b16892bfbf4987bf0f,0xfcc9aacc13990e2e3f0a003083706d10af6ebdc4,0.06,Mint,1,227
0x3ed8c8a1393eb3cfffdbde28c77efa2298b4d46d5fe155561a8a02fad9d73386,0xa55c58284c48e13fe20b4dfd4024f95a4af51478,0.06,Mint,1,227
0xb726e7f513c2b12382b9cef692cbfa52209abeee9a9d66f43291745b26b68634,0xd7da54fc6ba2d46ed00788082330a27c37842ab5,0.12,Mint,2,455
0xecf8a17025e662ca144e8caa7cbae8fa6f8dc33ddaef15b62cf5fe3f29e5d6aa,0x17f3bab5b1d7be9dce6e4530af6f64869132f856,0.12,Mint,2,455
0x23e49d17e854ba3b513aa54790c017a57b2753b478d4e4a79e44162380b03c73,0x4f8b576bd12046c3ec61a6820b9b0b84ec99646c,0.06,Mint,1,227
0x6da5a8fa4168b5a5473173bbdf17c1e651b726af1799ec9dbedc71071b099aa9,0xe985d0021fb166c650838d787c246b3a9e5101c6,0.06,Mint,1,227
0x0046a493c94472c3c16f96518021bbe9aebf8f39857cbc0eec840128f4d61ae2,0xa8c86b2ffd18aa2082a9c07b028c8fcee46a727b,0.06,Mint,1,227
0x6ad6f31013aed1cce090ad5d3877c0323d5ebfdaf21546a2b8121363299c2c49,0xe677627c3a1dd522429660e1db2fff6a79109832,0.06,Mint,1,227
0x7a526b4584a85fef77a491ff0f29262c96764b9b9ff7b9a7334ddf8245390ccb,0x305641829eb46b6ceb3f032d72970b479acbd8c5,0.06,Mint,1,227
0xd667e054a2bc4ca5cfedc4a2761d8951c0b38736d99996c777ed6163caf35641,0x2b40445bb12427d598ce5e105de33dbfe4066a5e,0.06,Mint,1,227
0x22677d338f8a140c8c31e5e20895232243916e4e1fef6a3ac1823248f8e97db7,0x2b40445bb12427d598ce5e105de33dbfe4066a5e,0.06,Mint,1,227
0xb32ef5cca4cf7c559fe4b47662a7d6d9f0a58f5a9254b750fad3727737d3b689,0x13e924999e287462af79b86792fac2b72f7afac6,0.12,Mint,2,455
0x7cf53a5cc42fbc21af7af9ae29eda724126a7be9032c8713db3505a53c5bb80f,0x3566f5fe437a34b099fb6284e7fa17c32d56fe66,0.06,Mint,1,227
0x7c6f245d0feda64b6a6b70e1c6ba43a87153555522d517b555fe98f70da9ba63,0x2b40445bb12427d598ce5e105de33dbfe4066a5e,0.12,Mint,2,455
0xb429acecc89d811fe4a0004676f29a5167a178e41fccaddd75eb1181f840af14,0x3fa0c66b48fcf0c0bb3fa84ac7ff0a3fb8cbda80,0.06,Mint,1,227
0x5af22bbd7471a4c630e98e02a84c3c5a139e4a621806d8da9f66d9a5a0c4d930,0x50577b6c03d36fb12842cb32217f39d80ff1ca14,0.06,Mint,1,227
0x46ebc8bff370ebb2f4e65995bfa2416cf403348478418230c7dcb8840c927768,0xc00fcf03fcf2ae8f53ea8ed0303b9a5cb15e0ddd,0.06,Mint,1,227
0x35c41791dcf2cf34216f6c0d3b4b65d8980a3cd0501bc392d40e1c4477013df3,0xc993110b77f99042e31c71945fc52408bc5c19f8,0.06,Mint,1,227
0x40f2d8d369026cbf120832bf5f19a1782a720e6054068e01927d25205dcbc2f3,0xc83280f38e6bbe34a1b72d0233abac2e1041ca91,0.06,Mint,1,227
0x855e338948a085d3fc860488294af92a36e2c1043661eaa6749194a734b87d2a,0x72df758524816bb785f144bda2c9acc5449eb69d,0.06,Mint,1,227
0xef5b44eff353401585a63d76aca55b31ec97d8225f6897b2d775f259d0c0f922,0x322dbb01312afb51e7f2515267e228974ef93f86,0.06,Mint,1,227
0x3686bc9cba2e08df85a6208c99744cb47204558a317378cdf105e9218483e262,0x176692427ed5a743e0f5eb553003d03176513f9a,0.06,Mint,1,227
0x862cbef959a8b68ea2825abef2b9b37b48215312ea805fa651367830b35349aa,0x72df758524816bb785f144bda2c9acc5449eb69d,0.12,Mint,2,455
0x0d9364965904ebe4f91fa8d8da9abba1d67bfc0d0a5610594fbc4ad2fce1f31e,0xee790b6245c96ff48196926d261c3c818de2ffcf,0.06,Mint,1,227
